symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
RDDT,177.94,12.534789,20400743.0,5147312.0,34235035648.0,3.963377972813772,0.9940828402366864,0.9911242603550297,0.9644970414201184,0.7928994082840237,0.9670118343195264,0.8905905858765277,1.0264107320404325
SNDK,1641.81,7.4406176,19500376.0,13554316.0,239704260608.0,1.4386838848968846,0.9437869822485208,0.9142011834319528,1.0,0.9053254437869822,0.9408284023668638,0.8609810118868035,1.016784207825668
AAOI,150.36,15.5904045,17218285.0,11939824.0,12715831296.0,1.442088677354038,0.9970414201183432,0.9201183431952664,0.970414201183432,0.6568047337278107,0.9307692307692308,0.8516847548424066,1.011812871542293
DIOD,103.44,6.4307027,2106130.0,633808.0,4763588608.0,3.322977936535985,0.9112426035502958,0.985207100591716,0.8816568047337278,0.9230769230769232,0.932396449704142,0.868047199300424,1.003263749892402
NBIS,277.605,8.848853,27032199.0,20712558.0,75468374016.0,1.3051115656501722,0.9674556213017752,0.8905325443786982,0.9733727810650888,0.6597633136094675,0.9109467455621302,0.8474074985596134,0.9929637461318543
WING,126.18,11.103284,1410679.0,1251229.0,3437464576.0,1.1274347061968673,0.9911242603550297,0.8461538461538461,0.9467455621301776,0.893491124260355,0.9217455621301774,0.8688999524269277,0.9912822715683662
HTFL,42.09,35.730408,9503274.0,1473009.0,3629876736.0,6.451606201998766,1.0,1.0,0.9289940828402368,0.7662721893491125,0.9624260355029586,0.9553037473300507,0.9849407787870733
AEHR,134.02,8.6942425,3151316.0,2493209.0,4371792896.0,1.2639598204562874,0.9644970414201184,0.8816568047337278,0.9260355029585798,0.8461538461538461,0.9159763313609468,0.8807813952974333,0.9779675477674602
SIMO,268.89,7.932759,1049756.0,1074174.0,9117456384.0,0.9772681148491772,0.9526627218934912,0.7810650887573964,0.9615384615384616,0.9437869822485208,0.893491124260355,0.8435098351484859,0.9763725368429683
STX,973.34,5.6405168,4960569.0,4705262.0,220602171392.0,1.0542598903100402,0.878698224852071,0.8224852071005917,0.9970414201183432,0.9319526627218936,0.88801775147929,0.8471023182298556,0.9681591066910448
VERA,31.63,9.48425,5492116.0,1868425.0,2279363328.0,2.939436156120797,0.9792899408284024,0.970414201183432,0.7603550295857988,0.6923076923076923,0.9036982248520709,0.8835914263339633,0.9632269947361497
LFTO,21.63,7.826519,2278831.0,1118800.0,3662619136.0,2.036852878083661,0.9497041420118344,0.9526627218934912,0.6449704142011834,0.7218934911242604,0.8670118343195267,0.8208377152898941,0.9616321339316896
