symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
FTAI,225.79,7.3911977,1841510.0,1266119.0,23162210304.0,1.4544525435602815,0.9610894941634242,0.9299610894941636,0.953307392996109,0.9221789883268484,0.9447470817120622,0.8548093793863909,1.0249804170172587
ARWR,91.665,23.007254,5032571.0,2107598.0,12911659008.0,2.3878230098908806,1.0,0.9610894941634242,0.9571984435797666,0.8015564202334631,0.957976653696498,0.901637033729051,1.0102312870749568
RPM,106.61,5.003449,1091053.0,847583.0,13654148096.0,1.2872521039237454,0.9182879377431906,0.9221789883268484,0.8521400778210116,0.9027237354085604,0.904863813229572,0.818985324947589,1.0048617155905932
PAG,215.16,10.231057,1779431.0,303449.0,14146610176.0,5.864019983588675,0.980544747081712,1.0,0.9688715953307392,0.9766536964980544,0.9846303501945524,0.9842788259958072,0.9924937445175771
TNL,76.025,3.6469026,1027568.0,848511.0,4745824768.0,1.2110249601949767,0.7704280155642024,0.9105058365758756,0.7354085603112841,0.8715953307392996,0.822568093385214,0.7082222222222222,0.9920114423991434
WAB,288.405,9.439153,2178223.0,882785.0,48935792640.0,2.4674445080059133,0.9766536964980544,0.9649805447470816,0.9883268482490272,0.9377431906614786,0.971011673151751,0.9750230607966456,0.9834487633607983
EQT,53.57,7.5702825,10835381.0,7286931.0,33506856960.0,1.4869608344033998,0.9649805447470816,0.933852140077821,0.7898832684824902,0.5525291828793775,0.8778210116731517,0.80939129418555,0.9811828393662188
PLSE,33.585,10.988099,253038.0,342421.0,2324408064.0,0.7389675282765952,0.9883268482490272,0.77431906614786,0.7665369649805448,0.8832684824902723,0.8585603112840468,0.7811111111111111,0.9788564573174445
NG,6.3899,13.497336,19589120.0,3610470.0,2803764224.0,5.425642644863411,0.9922178988326849,0.9922178988326849,0.4591439688715953,0.3696498054474708,0.8233463035019455,0.7292452830188679,0.9761926095207413
BMA,97.06,4.624341,223840.0,290196.0,6205922304.0,0.7713407490110132,0.8988326848249028,0.7976653696498055,0.8132295719844358,0.9416342412451362,0.8505836575875486,0.7725737311319877,0.975778871850014
WFRD,88.265,5.9349494,1211060.0,1332173.0,6331600896.0,0.9090861322065528,0.9455252918287936,0.8560311284046692,0.8365758754863813,0.8443579766536965,0.8822957198443581,0.8353035549634052,0.9692766548984026
