symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
ARM,322.9,17.158308,12889775.0,5435692.0,344856723456.0,2.371321811463931,0.9952941176470588,0.9694117647058824,0.9929411764705882,0.8423529411764706,0.970470588235294,0.803590403350152,1.0890694017609326
GRAL,107.97,33.675877,3519996.0,713955.0,4822612992.0,4.930277118305775,1.0,0.9929411764705882,0.9811764705882352,0.9223529411764706,0.986,0.8415013985835261,1.0788576121559061
AMD,615.52,9.949629,44156939.0,24950388.0,1004821020672.0,1.7697896722087048,0.9552941176470588,0.908235294117647,0.9952941176470588,0.6988235294117647,0.9211764705882352,0.757636451976012,1.0685160007716694
META,741.245,11.427715,48450536.0,18311692.0,1888326254592.0,2.645879801822792,0.9670588235294116,0.976470588235294,1.0,0.7835294117647059,0.9585882352941176,0.8166286800129541,1.0662121740144348
NICE,114.54,9.11689,1173473.0,530598.0,6711721984.0,2.2116046423092435,0.9435294117647058,0.9623529411764706,0.8847058823529412,0.9341176470588236,0.9374117647058824,0.7948504506066952,1.0583839557505046
BURL,251.8,6.19096,2435590.0,1070769.0,15816866816.0,2.2746175879204573,0.8658823529411764,0.9670588235294116,0.9435294117647058,0.9482352941176472,0.9250588235294116,0.7916497348125093,1.046789585709246
INTC,121.78,12.13628,188716510.0,108716785.0,643741843456.0,1.735854403715121,0.9694117647058824,0.8964705882352941,0.9341176470588236,0.2094117647058823,0.8608235294117647,0.6987468498882206,1.0463884446361544
RMBS,96.96,10.684932,4245268.0,2852166.0,10516436992.0,1.4884365075525057,0.96,0.8588235294117647,0.8776470588235294,0.7576470588235295,0.8878823529411765,0.7800658561296858,1.013048480657971
ALAB,340.74,12.362734,6115209.0,4447471.0,59113312256.0,1.3749856941169487,0.9788235294117648,0.8023529411764706,0.9905882352941175,0.8658823529411764,0.9081176470588236,0.8163610128313785,1.0102573881259782
DOCN,146.16,12.3098,4458982.0,3302134.0,17185427456.0,1.3503334510349974,0.9741176470588236,0.8,0.9505882352941176,0.7952941176470588,0.8905882352941175,0.8209267109599095,0.9877227068281518
TWLO,266.06,9.11253,3018497.0,2065368.0,40860221440.0,1.4614814405955745,0.9411764705882352,0.8470588235294118,0.971764705882353,0.9058823529411764,0.9108235294117648,0.866987063662972,0.9806926873321015
CRDO,187.27,6.4699554,11075265.0,7328758.0,35197755392.0,1.511206264417518,0.8823529411764706,0.8635294117647059,0.9129411764705884,0.7058823529411765,0.864235294117647,0.7949820042502509,0.9756741612296751
