symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
ANDG,46.94,9.62167,868968.0,316363.0,5280080896.0,2.7467434560931587,0.9711111111111111,0.9888888888888888,0.7577777777777778,0.9066666666666666,0.9282222222222222,0.8556996823488043,1.0064872749507139
RNG,53.7,11.1571,4902662.0,1898081.0,4503207424.0,2.5829572078325422,0.9888888888888888,0.9866666666666668,0.8355555555555556,0.7133333333333334,0.9298888888888888,0.9007438943183976,0.9811227359401339
ISRG,356.83,5.7274036,5104405.0,2891408.0,127844352000.0,1.7653700204191176,0.8044444444444444,0.9466666666666668,0.98,0.88,0.8968888888888887,0.8452702038085615,0.9789782813452053
LW,53.11,7.1198,3197627.0,1625447.0,7300258304.0,1.967229322149538,0.9066666666666666,0.9666666666666668,0.7311111111111112,0.74,0.8758888888888888,0.810886302269576,0.9780256410544859
TRI,97.76,8.441487,2554158.0,2038583.0,42676039680.0,1.252908515375631,0.9422222222222222,0.84,0.8822222222222222,0.7955555555555556,0.8797777777777778,0.826885992301894,0.9718714027833637
ASO,49.9,7.127522,2309658.0,1509980.0,3094716928.0,1.529595093974755,0.9088888888888887,0.9133333333333332,0.7222222222222222,0.7444444444444445,0.8566666666666667,0.7938456106325328,0.9679008860115413
KOF,108.99,6.1143,263367.0,140670.0,22896971776.0,1.8722328854766477,0.8333333333333334,0.9577777777777776,0.8511111111111112,0.9888888888888888,0.896,0.8628695556428098,0.9671978290000678
RHI,39.74,12.6098,2883985.0,2274468.0,4065147392.0,1.2679822270526555,0.9977777777777778,0.8444444444444444,0.7855555555555556,0.6644444444444444,0.8683333333333332,0.8317214092203301,0.9561763947481667
SKYW,110.29,6.4061737,613904.0,428113.0,4374132224.0,1.4339765435761118,0.8644444444444445,0.8822222222222222,0.8533333333333334,0.9533333333333334,0.8773333333333334,0.8483913498180244,0.95572364368648
ZBIO,32.82,7.9960527,1131823.0,787670.0,2072037376.0,1.4369253621440452,0.9333333333333332,0.8888888888888888,0.64,0.7822222222222223,0.844,0.8005004587975764,0.9491702162843003
WDAY,147.54,9.014332,5151467.0,4999231.0,36438462464.0,1.0304518834996823,0.9622222222222222,0.7177777777777777,0.9466666666666668,0.7222222222222222,0.8495555555555554,0.8137905799069848,0.9467520894321707
