symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
THC,233.2,17.1741,4316007.0,1456300.0,20087148544.0,2.963679873652407,0.9976525821596244,0.9788732394366196,0.9906103286384976,0.908450704225352,0.9807511737089202,0.8809189594281759,1.0470392635821966
RNG,48.31,25.0906,8430019.0,1769785.0,4051209472.0,4.763301191952695,1.0,1.0,0.908450704225352,0.7018779342723005,0.9518779342723004,0.8852158380891056,1.0135919853690236
SXT,126.79,8.33974,1789717.0,508995.0,5397318656.0,3.5161779585261157,0.960093896713615,0.9859154929577464,0.9131455399061033,0.9342723004694836,0.9571596244131456,0.897478871680172,1.011828925147385
MNDY,77.43,7.931422,3071975.0,1683127.0,3273285120.0,1.825159361117729,0.9577464788732394,0.9225352112676056,0.8169014084507042,0.7769953051643192,0.8991784037558684,0.8221234048049197,0.9964526037106756
FAF,75.13,8.94721,1492270.0,952077.0,7655746560.0,1.5673837305175946,0.9741784037558684,0.8873239436619719,0.8286384976525821,0.8450704225352113,0.9017605633802817,0.8272049308682019,0.9959450713994025
OII,52.73,9.80841,3951050.0,1054990.0,5259567104.0,3.745106588688045,0.9788732394366196,0.9906103286384976,0.7863849765258216,0.784037558685446,0.925,0.8719481959047715,0.9929214197267647
ENVA,237.27,8.93939,858568.0,329557.0,5904439296.0,2.605218520620105,0.971830985915493,0.9694835680751174,0.971830985915493,0.9812206572769951,0.9719483568075118,0.9680521495417724,0.9879865737419531
VRSN,280.0,7.041828,2032492.0,812357.0,25479999488.0,2.501968961921913,0.943661971830986,0.9624413145539906,0.9694835680751174,0.9507042253521126,0.9561032863849764,0.9390050434132752,0.9871560900171557
KNSL,349.1,5.062,575135.0,328983.0,8051230720.0,1.748221032697738,0.8802816901408451,0.9131455399061033,0.9647887323943662,0.9906103286384976,0.9197183098591548,0.8737113473875135,0.9861876229122852
DLR,199.08,11.007,10741889.0,2789119.0,74907631616.0,3.8513555714187886,0.9859154929577464,0.9929577464788732,0.976525821596244,0.8262910798122066,0.9705399061032864,0.9696364425373872,0.9857358305322457
PKG,254.39,8.76016,1241677.0,698122.0,22665805824.0,1.7785960047097784,0.9671361502347418,0.9154929577464788,0.9788732394366196,0.9577464788732394,0.950469483568075,0.9366056424010044,0.9826358509272253
SKYW,103.65,7.6995053,697345.0,426939.0,4110788096.0,1.6333598008146364,0.9507042253521126,0.8943661971830986,0.8685446009389671,0.931924882629108,0.9126760563380282,0.8809010834568646,0.9743735224361292
