symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
ETSY,86.13,6.2939634,2970996.0,2971309.0,7905161216.0,0.999894659222585,0.9809885931558936,0.779467680608365,0.8973384030418251,0.844106463878327,0.8800380228136881,0.7516117231048929,1.0254529500755152
LIFE,36.895,8.006442,2100598.0,832306.0,3535959808.0,2.523828976362059,0.9847908745247148,0.9923954372623576,0.7908745247148289,0.9011406844106464,0.9403041825095056,0.8664826579260008,1.0127504767551636
SA,32.9601,9.284145,1048134.0,805095.0,3555445760.0,1.3018761761034412,0.9961977186311788,0.8859315589353612,0.8022813688212928,0.8821292775665399,0.9074144486692014,0.8137416300850505,1.0112640796809103
GENB,17.755,10.142669,2021240.0,814290.0,2278897408.0,2.482211497132471,1.0,0.988593155893536,0.6692015209125475,0.8250950570342205,0.9123574144486692,0.8271768199850733,1.0076674532853842
BMA,76.56,5.107086,371155.0,295348.0,4895172096.0,1.256670097647521,0.9619771863117872,0.8669201520912547,0.8517110266159695,0.9809885931558936,0.908555133079848,0.8371886517992468,0.9969002664100332
MZTI,115.1234,3.129446,396794.0,325450.0,3156957440.0,1.219216469503764,0.8098859315589354,0.8517110266159695,0.8403041825095057,0.9847908745247148,0.8480988593155894,0.7465984492656379,0.9920246646383846
EZPW,34.875,8.240219,2092326.0,1054659.0,2142837760.0,1.9838886313016812,0.988593155893536,0.9581749049429658,0.7870722433460076,0.8593155893536122,0.9247148288973382,0.9012925999530712,0.9753511020399612
FCFS,234.61,4.141514,482691.0,458293.0,10175458304.0,1.0532366848282648,0.9163498098859316,0.8060836501901141,0.9505703422053232,0.9923954372623576,0.8922053231939163,0.8667223997576973,0.9608034028281431
WMT,106.44,2.6422427,25916392.0,24630424.0,847057977344.0,1.0522105506588113,0.7490494296577946,0.8022813688212928,0.7946768060836502,0.5779467680608364,0.7596958174904942,0.6668976323595204,0.9494224435975068
OR,37.33,3.4358594,1868697.0,1036603.0,6999221248.0,1.8027123209174585,0.870722433460076,0.9505703422053232,0.623574144486692,0.870722433460076,0.8492395437262358,0.8298378497342402,0.9363098231172329
BMNR,24.085,5.497149,58630601.0,37410466.0,14528706560.0,1.5672245568927154,0.973384030418251,0.9201520912547528,0.6273764258555133,0.2015209125475285,0.8083650190114069,0.762819832212141,0.9340356837914238
NG,9.47,8.600917,7627560.0,4626204.0,4155252480.0,1.648772946458911,0.9923954372623576,0.9277566539923956,0.532319391634981,0.4372623574144487,0.8222433460076045,0.7873826971510188,0.9332587157548824
