symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
CHRN,29.63,28.770096,858955.0,326019.0,4302715392.0,2.6346777335063294,0.9974811083123426,0.9697732997481108,0.8690176322418136,0.853904282115869,0.9477329974811084,0.8509726525534957,1.0307192922100423
AEHR,87.79,21.91362,12895352.0,2510800.0,2761281280.0,5.135953480962243,0.9949622166246852,0.9949622166246852,0.9622166246851386,0.7481108312342569,0.963727959697733,0.8980342291602674,1.018440386629538
GPI,319.4,6.75847,228793.0,183367.0,3800282880.0,1.2477326890880038,0.9496221662468514,0.783375314861461,0.9773299748110832,1.0,0.902015113350126,0.810786380337467,1.0072669705139385
ROAD,103.86,6.6872134,1286787.0,634531.0,5871698432.0,2.027934017408133,0.947103274559194,0.9395465994962215,0.8664987405541562,0.8992443324937027,0.923551637279597,0.8649690939894112,0.9956397703678257
MANE,123.7,12.281,1334320.0,658537.0,5168023552.0,2.0261883538814067,0.9848866498740554,0.9370277078085644,0.9521410579345088,0.9093198992443324,0.954030226700252,0.9306297644935112,0.9895874934198072
RH,190.26,9.000281,1406853.0,923295.0,3600902400.0,1.523730768605917,0.9773299748110832,0.8690176322418136,0.9596977329974812,0.9193954659949622,0.9301007556675062,0.9094863857880016,0.9763833511479407
BLK,1093.4,6.62741,1416515.0,719777.0,177789386752.0,1.9679914751374383,0.9445843828715366,0.9345088161209067,0.9924433249370276,0.9949622166246852,0.9556675062972292,0.9587953419250032,0.976202625268136
PYPL,55.52,17.204985,89318737.0,15302068.0,48974495744.0,5.83703699395402,0.9874055415617128,1.0,0.9042821158690176,0.3904282115869018,0.9154911838790932,0.8843076950197254,0.9753771748348374
SAH,99.73,7.9562745,373905.0,271044.0,3151877376.0,1.3794992694913002,0.9697732997481108,0.8337531486146096,0.8866498740554156,0.9395465994962215,0.9025188916876576,0.8679746008502295,0.9711588131776138
BNY,162.35,5.08091,6778414.0,3901196.0,111433646080.0,1.737522031705149,0.8765743073047859,0.8942065491183879,0.8967254408060453,0.7707808564231738,0.8761964735516372,0.8230109107137954,0.9704098149976152
MESO,18.24,8.960573,487005.0,188072.0,2358113792.0,2.5894604194138413,0.9748110831234256,0.964735516372796,0.593198992443325,0.8589420654911839,0.8833753148614609,0.844246431730299,0.9648615090814662
MBX,60.675,7.2185884,1045640.0,816552.0,2887980544.0,1.280555310623206,0.9571788413098236,0.7934508816120907,0.7909319899244333,0.8413098236775819,0.8550377833753149,0.8008296660293053,0.9613638649981404
