symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
MKTX,163.03,29.666742,5761982.0,673306.0,5793996800.0,8.557746403566878,0.997229916897507,1.0,0.9224376731301939,0.8836565096952909,0.9718836565096952
CORT,119.51,28.574509,2630786.0,1154121.0,12829588480.0,2.2794715632069775,0.9944598337950139,0.9861495844875346,0.8808864265927978,0.8060941828254847,0.95
SNDK,1251.2234,23.165241,16516964.0,13726827.0,185293373440.0,1.2032616131899965,0.9722991689750693,0.9224376731301939,1.0,0.7922437673130194,0.942382271468144
EME,793.54,18.002024,466256.0,427540.0,35338371072.0,1.0905552696823688,0.9335180055401662,0.8947368421052632,0.9944598337950139,0.9889196675900277,0.9376731301939057
SIMO,246.185,17.409866,1564512.0,1010301.0,8347600384.0,1.5485602805500538,0.9196675900277008,0.9584487534626038,0.9196675900277008,0.8864265927977839,0.9299168975069252
BE,205.46,25.471758,22717460.0,13282198.0,60513595392.0,1.710369021753779,0.9778393351800554,0.96398891966759,0.9362880886426593,0.5623268698060941,0.9231301939058172
NBIS,187.315,26.376331,30099932.0,19018960.0,47558938624.0,1.582627651564544,0.9833795013850416,0.961218836565097,0.9279778393351801,0.481994459833795,0.914404432132964
PWR,637.48,13.604442,1437877.0,1253013.0,95660335104.0,1.1475355802373959,0.8614958448753463,0.9085872576177285,0.9806094182825484,0.9335180055401662,0.9090027700831025
MSFT,454.51,16.379885,74913676.0,38666122.0,3376298065920.0,1.9374499464932118,0.9141274238227147,0.9778393351800554,0.961218836565097,0.5069252077562327,0.9051246537396122
MKSI,292.08,13.3806925,1498197.0,1361024.0,19728287744.0,1.100786613608577,0.8559556786703602,0.9002770083102493,0.9113573407202216,0.8698060941828255,0.8839335180055401
LRCX,296.7925,17.611454,11503251.0,11507024.0,371160121344.0,0.9996721133109655,0.9224376731301939,0.8725761772853186,0.9418282548476454,0.6343490304709142,0.8800554016620498
HII,313.03,11.63695,588907.0,536829.0,12334643200.0,1.097010407410926,0.7977839335180056,0.8975069252077562,0.9058171745152355,0.9390581717451524,0.868421052631579
SEI,51.72,19.113422,3349855.0,2753136.0,4969145856.0,1.216741563075707,0.9473684210526315,0.925207756232687,0.7091412742382271,0.5817174515235457,0.8554016620498616
CSW,316.42,16.07059,104587.0,145631.0,5156464640.0,0.7181644018100541,0.9085872576177285,0.7091412742382271,0.9390581717451524,0.9916897506925207,0.853185595567867
PBF,73.48,15.990537,3430911.0,2858872.0,8693305344.0,1.2000925539863274,0.9058171745152355,0.9196675900277008,0.7423822714681441,0.631578947368421,0.8505540166204986
MTZ,319.76,11.251824,1187599.0,1205655.0,25266974720.0,0.9850239081661006,0.7894736842105263,0.8670360110803325,0.9002770083102493,0.8975069252077562,0.8495844875346261
FORM,105.05,25.88377,1332568.0,1867308.0,8189148672.0,0.7136305312246293,0.9806094182825484,0.7063711911357341,0.8670360110803325,0.7506925207756233,0.8389196675900277
