symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
MRNA,157.435,13.352291,38806434.0,13181673.0,62853701632.0,2.9439687966770225,0.993127147766323,0.9862542955326461,0.9828178694158075,0.6151202749140894,0.9508591065292096
BNS,93.22,7.3221283,2904635.0,2576514.0,113846697984.0,1.1273507537704046,0.9175257731958762,0.9106529209621993,0.9037800687285223,0.8075601374570447,0.9013745704467354
CDLR,25.995,8.448067,111306.0,84590.0,2507764224.0,1.3158292942428182,0.9484536082474226,0.9450171821305842,0.6958762886597938,0.9690721649484536,0.8987972508591066
GENB,19.62,10.713288,3660491.0,841028.0,2518274816.0,4.35240087131463,0.979381443298969,0.9896907216494846,0.6769759450171822,0.738831615120275,0.8984536082474226
MAIR,27.28,9.251107,4755961.0,2181788.0,13686993920.0,2.179845612864311,0.9656357388316151,0.979381443298969,0.7491408934707904,0.6254295532646048,0.893127147766323
FRHC,169.0,7.362935,133762.0,168749.0,10780114944.0,0.7926684009979318,0.9209621993127147,0.7903780068728522,0.9450171821305842,0.9965635738831615,0.8876288659793813
FUTU,126.065,8.855025,1858738.0,2383100.0,17673619456.0,0.7799664302798875,0.9587628865979382,0.7835051546391752,0.9381443298969072,0.852233676975945,0.8826460481099656
NGL,17.595,7.746475,460293.0,264009.0,2178512384.0,1.7434746542731498,0.9278350515463918,0.9690721649484536,0.6013745704467354,0.872852233676976,0.8714776632302406
STDN,13.935,16.570326,1202293.0,1137671.0,2238985728.0,1.0568020104230484,1.0,0.8865979381443299,0.6907216494845361,0.6185567010309279,0.8603092783505153
NBTX,41.83,5.471513,160922.0,112544.0,2125113216.0,1.4298585442138185,0.8144329896907216,0.9518900343642611,0.718213058419244,0.9828178694158075,0.8601374570446736
OKLO,44.72,12.673224,9031399.0,10734500.0,8318709248.0,0.841343239088919,0.9896907216494846,0.8109965635738832,0.8591065292096219,0.4742268041237113,0.8494845360824743
