symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
MRNA,146.41,9.820688,81222510.0,11539425.0,58452131840.0,7.038696468844852,0.9614325068870524,0.9944903581267218,0.9669421487603306,0.6170798898071626,0.9396694214876034
VIRT,68.245,11.529669,2092975.0,1342666.0,6026080256.0,1.5588202873983552,0.9834710743801653,0.9008264462809917,0.9090909090909091,0.8292011019283747,0.9242424242424242
COIN,185.4,7.571794,18135331.0,8262051.0,48915365888.0,2.1950156202134314,0.8953168044077136,0.9641873278236914,0.9641873278236914,0.7272727272727273,0.9163911845730026
EZPW,32.6,13.3518715,1800213.0,1024464.0,2003053952.0,1.7572242655671648,0.9944903581267218,0.928374655647383,0.7933884297520661,0.7658402203856749,0.9082644628099174
TEM,72.69,9.064988,13949203.0,6436427.0,13115802624.0,2.167227718111306,0.9476584022038568,0.9614325068870524,0.8870523415977961,0.6033057851239669,0.9059228650137741
AMR,209.66,7.905301,365781.0,288003.0,2658288640.0,1.2700596868782617,0.90633608815427,0.8402203856749312,0.9752066115702479,0.9834710743801653,0.9046831955922865
HOOD,107.215,12.73922,44222109.0,25994912.0,96395108352.0,1.7011832546307524,0.9889807162534435,0.9146005509641874,0.9586776859504132,0.44077134986225897,0.9020661157024793
ERO,39.145,8.675735,3209182.0,1217766.0,4082926592.0,2.6353026771974255,0.931129476584022,0.977961432506887,0.7575757575757576,0.768595041322314,0.8965564738292011
FCFS,226.84,10.164631,444402.0,451914.0,9838458880.0,0.9833773682603327,0.9669421487603306,0.7355371900826446,0.9889807162534435,0.9724517906336089,0.8909090909090909
CVI,39.8,11.080093,1238283.0,945682.0,4001117696.0,1.3094073906450583,0.9724517906336089,0.8539944903581267,0.8071625344352618,0.8071625344352618,0.881404958677686
SCCO,215.16,8.267503,1397162.0,1265976.0,181668986880.0,1.1036243973029505,0.9201101928374655,0.768595041322314,0.9807162534435262,0.9366391184573003,0.8808539944903582
TGTX,54.61,8.010283,4154086.0,2386570.0,8359894528.0,1.740609326355397,0.9090909090909091,0.9201101928374655,0.8099173553719008,0.7300275482093664,0.8752066115702479
DK,70.56,10.181131,1357390.0,1220674.0,4320542208.0,1.1120004194404076,0.9696969696969697,0.7713498622589532,0.9035812672176309,0.8429752066115702,0.8743801652892562
MSTR,119.19,6.050363,39665209.0,21557900.0,47352000512.0,1.8399384448392468,0.8512396694214877,0.9393939393939394,0.90633608815427,0.4986225895316804,0.8578512396694216
FCX,76.65,7.624263,23598674.0,14033009.0,110070743040.0,1.681654590259295,0.8980716253443526,0.9118457300275482,0.8732782369146006,0.4931129476584022,0.8574380165289256
DE,650.09,4.6944995,1802621.0,1284869.0,175483633664.0,1.4029609244210888,0.721763085399449,0.8787878787878788,0.9972451790633609,0.9752066115702479,0.8571625344352616
NTES,128.28,7.069528,1032645.0,969282.0,82131288064.0,1.0653710684816184,0.8870523415977961,0.7603305785123967,0.928374655647383,0.9201101928374655,0.8542699724517906
ROST,239.38,4.537316,5062543.0,3012974.0,76788580352.0,1.6802478215875742,0.7079889807162535,0.9090909090909091,0.9393939393939394,0.8815426997245179,0.8420110192837466
AU,121.52,6.205208,3579184.0,3083362.0,61461078016.0,1.1608056400772921,0.8567493112947658,0.7988980716253443,0.9118457300275482,0.7988980716253443,0.8417355371900828
VEON,59.71,5.812509,105356.0,81479.0,4111701760.0,1.2930448336381153,0.8236914600550964,0.8512396694214877,0.768595041322314,0.9862258953168044,0.8385674931129476
MP,59.905,8.839022,6988423.0,6020882.0,10669174784.0,1.160697552285529,0.9393939393939394,0.7961432506887053,0.8622589531680441,0.5702479338842975,0.8369146005509642
SIND,17.135,8.107254,276174.0,184702.0,2720881664.0,1.4952409827722493,0.9118457300275482,0.8953168044077136,0.546831955922865,0.8953168044077136,0.8314049586776859
TSLA,365.39,5.8702545,50249921.0,41849067.0,1443125264384.0,1.2007417274081642,0.8319559228650137,0.8181818181818182,0.9862258953168044,0.5537190082644629,0.8301652892561984
SII,132.58,4.7566404,242167.0,190691.0,3411638528.0,1.26994457001117,0.7355371900826446,0.837465564738292,0.8842975206611571,0.9807162534435262,0.8254820936639119
SLS,15.34,14.477617,13358362.0,8644991.0,3097847296.0,1.5452141014374683,0.9972451790633609,0.8980716253443526,0.6639118457300276,0.2865013774104683,0.824793388429752
BNTX,115.51,4.1662936,2497050.0,1114159.0,29016616960.0,2.2411971720373844,0.6528925619834711,0.9669421487603306,0.8347107438016529,0.9035812672176309,0.8242424242424243
DAO,18.4,9.134039,92333.0,80666.0,2219677184.0,1.1446334267225349,0.953168044077135,0.7823691460055097,0.6088154269972452,0.9449035812672176,0.8236914600550964
AXGN,50.315,8.3441,1190666.0,1225396.0,2705010432.0,0.9716581415313906,0.9228650137741047,0.7272727272727273,0.7961432506887053,0.8044077134986226,0.8172176308539945
EGO,45.55,6.7995253,3329010.0,2624750.0,11879910400.0,1.2683150776264407,0.8842975206611571,0.8347107438016529,0.7382920110192838,0.6776859504132231,0.8170798898071625
FUTU,123.74,9.766695,2726005.0,3323580.0,17347665920.0,0.8202014093236811,0.9586776859504132,0.6088154269972452,0.9421487603305785,0.790633608815427,0.8161157024793388
CRCL,87.985,5.1697307,23454672.0,13444127.0,23984193536.0,1.744603572995108,0.7823691460055097,0.9256198347107438,0.8264462809917356,0.5234159779614325,0.815426997245179
HCA,428.26,5.4126616,1505863.0,1597146.0,92718940160.0,0.9428461768679883,0.7988980716253443,0.6914600550964187,0.9917355371900827,0.953168044077135,0.8152892561983471
WPM,157.6099,4.8984284,2390846.0,2066709.0,71580106752.0,1.156837271236541,0.7603305785123967,0.7933884297520661,0.9201101928374655,0.8705234159779615,0.8148760330578513
USAR,19.295,12.770306,18627081.0,13399837.0,4721874432.0,1.3900975810377394,0.9917355371900827,0.8705234159779615,0.6831955922865014,0.2644628099173554,0.8148760330578513
ALB,142.985,6.554138,2112144.0,2310312.0,16872952832.0,0.9142245722655641,0.8705234159779615,0.6776859504132231,0.931129476584022,0.8512396694214877,0.8132231404958677
NEXA,15.43,9.66596,908720.0,733211.0,2043527808.0,1.2393703858780079,0.9559228650137741,0.8319559228650137,0.5674931129476584,0.7162534435261708,0.8108815426997245
CCJ,101.98,6.684808,3032179.0,3328387.0,44415655936.0,0.9110055411224717,0.8787878787878788,0.6721763085399449,0.9008264462809917,0.7603305785123967,0.7990358126721764
TMC,4.74,19.39546,16213201.0,5329646.0,2682066944.0,3.0420784044568814,1.0,0.9862258953168044,0.4214876033057851,0.18732782369146006,0.7982093663911844
BJ,95.42,4.5125904,2961022.0,2107611.0,12184559616.0,1.404918649599001,0.696969696969697,0.8815426997245179,0.8181818181818182,0.8154269972451791,0.7976584022038568
HTFL,49.86,6.538464,1867449.0,1724029.0,4335507968.0,1.083188855871914,0.8677685950413223,0.7658402203856749,0.7493112947658402,0.7520661157024794,0.7968319559228649
