symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
BLK,1106.67,7.9214883,559433.0,719777.0,179947110400.0,0.7772310034913591,0.9725085910652921,0.9621993127147767,0.993127147766323,0.9896907216494846,0.9747422680412371
MANE,126.3575,14.693202,487602.0,658537.0,5279050240.0,0.7404322004686145,0.9896907216494846,0.9553264604810997,0.9621993127147767,0.8934707903780069,0.9625429553264605
AEHR,93.52,29.870844,7383782.0,2510800.0,2941508096.0,2.940808507248686,1.0,0.993127147766323,0.9759450171821306,0.6907216494845361,0.9618556701030927
NXST,187.765,6.9520407,329864.0,390021.0,5734148608.0,0.8457595873042734,0.9381443298969072,0.9656357388316151,0.9278350515463918,0.9415807560137457,0.9460481099656357
PYPL,55.465,17.087074,48734653.0,15302068.0,48925978624.0,3.184840963979509,0.9965635738831615,0.9965635738831615,0.8934707903780069,0.2646048109965636,0.9027491408934708
ROAD,103.75,6.5742183,269157.0,634531.0,5865479680.0,0.42418258524800206,0.9278350515463918,0.9037800687285223,0.865979381443299,0.8831615120274914,0.9025773195876289
CTAS,195.25,5.924156,1192523.0,2102086.0,78126727168.0,0.567304572695884,0.8797250859106529,0.9312714776632303,0.9243986254295533,0.8178694158075601,0.9005154639175258
KRMN,50.535,10.266197,1384427.0,2900527.0,6697216512.0,0.4773018834163585,0.9862542955326461,0.9243986254295533,0.7972508591065293,0.5257731958762887,0.8807560137457046
RH,187.33,7.3216834,274259.0,923295.0,3545448704.0,0.29704374008307205,0.9553264604810997,0.7560137457044673,0.9347079037800687,0.9003436426116839,0.8759450171821305
BABA,119.31,6.2232885,10822734.0,12487672.0,285970825216.0,0.8666734680411209,0.9072164948453608,0.9690721649484536,0.8762886597938144,0.40893470790378006,0.8728522336769758
