symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
SAP,171.96,7.4750047,2361027.0,3156645.0,202729209856.0,0.7479545530143554,0.9481268011527377,0.968299711815562,0.930835734870317,0.7665706051873199,0.9335734870317004
ISRG,356.25,5.5555553,1995391.0,2891408.0,127636553728.0,0.690110492880977,0.7867435158501441,0.9596541786743515,0.9769452449567724,0.8674351585014409,0.893371757925072
RNG,52.31,8.279859,1454439.0,1898081.0,4386643968.0,0.7662681413490784,0.968299711815562,0.9711815561959655,0.7348703170028819,0.6657060518731989,0.8923631123919309
TSN,61.67,7.3455133,2049382.0,3262386.0,21715820544.0,0.6281850155070553,0.9423631123919308,0.9481268011527377,0.7406340057636888,0.6253602305475504,0.8723342939481268
RACE,377.66,4.8629484,328525.0,581078.0,66405691392.0,0.5653716024354734,0.7146974063400576,0.9221902017291066,0.9740634005763689,0.9913544668587896,0.8668587896253601
WDAY,147.58,9.043893,1947037.0,4999231.0,36448346112.0,0.38946730007075087,0.9855907780979827,0.7435158501440923,0.9365994236311239,0.6743515850144092,0.8599423631123918
TRI,97.13,7.742646,886612.0,2038583.0,42401017856.0,0.43491582143086643,0.9538904899135446,0.8011527377521613,0.8501440922190202,0.7521613832853026,0.8595100864553313
KOF,108.44,5.578818,73092.0,140670.0,22781425664.0,0.5195990616336106,0.792507204610951,0.899135446685879,0.8097982708933718,0.9942363112391931,0.853458213256484
THC,246.695,5.788496,639898.0,1507191.0,21249568768.0,0.4245633101577703,0.8184438040345822,0.792507204610951,0.9510086455331412,0.9106628242074928,0.8451008645533141
SHOP,124.12,9.116486,3902496.0,10268650.0,161064894464.0,0.380039829967912,0.9913544668587896,0.7348703170028819,0.9135446685878963,0.5504322766570605,0.8419308357348703
RDDT,180.8,7.153445,1843074.0,4993306.0,34805633024.0,0.3691089630797712,0.9365994236311239,0.7146974063400576,0.9337175792507204,0.7204610951008645,0.8367435158501441
MANH,161.89,6.738314,230821.0,648562.0,9578157056.0,0.35589658351861503,0.9077809798270894,0.6858789625360231,0.9077809798270894,0.9452449567723343,0.8338616714697408
MNDY,82.13,6.069995,830363.0,1716211.0,3471973376.0,0.4838350296088301,0.861671469740634,0.8587896253602305,0.7694524495677233,0.7550432276657061,0.8315561959654179
BKR,60.73,6.0786014,5971396.0,8437229.0,60248330240.0,0.7077437390877976,0.8674351585014409,0.9654178674351584,0.6959654178674352,0.4495677233429395,0.8256484149855907
PEGA,29.215,8.929905,1217126.0,2510849.0,4803090432.0,0.4847467928178875,0.9798270893371758,0.861671469740634,0.6051873198847262,0.5389048991354467,0.8194524495677233
BMNR,17.455,10.548056,29019558.0,37040606.0,10529315840.0,0.7834525709433587,1.0,0.9740634005763689,0.49279538904899134,0.10951008645533142,0.8004322766570604
FDS,269.24,5.8499727,310814.0,932944.0,9575666688.0,0.3331539728000823,0.8242074927953891,0.6253602305475504,0.9596541786743515,0.9538904899135446,0.7946685878962536
ASO,49.775,6.859166,623426.0,1509980.0,3086964480.0,0.4128703691439622,0.9135446685878963,0.7694524495677233,0.6685878962536023,0.7031700288184438,0.7930835734870316
TEAM,94.07,8.275785,1984226.0,5839655.0,23871942656.0,0.33978479893075875,0.9654178674351584,0.6368876080691642,0.8559077809798271,0.590778097982709,0.7910662824207493
NOW,104.605,5.896948,12279045.0,27355331.0,108147138560.0,0.44887210467312566,0.8328530259365994,0.8357348703170029,0.8126801152737753,0.36023054755043227,0.782564841498559
ADBE,238.075,5.7594047,2192348.0,6261560.0,94634811392.0,0.3501280830975029,0.8155619596541787,0.659942363112392,0.9423631123919308,0.729106628242075,0.7778097982708934
JBS,13.345,8.672643,4836649.0,7043850.0,43892314112.0,0.6866484947862319,0.9769452449567724,0.9567723342939481,0.3631123919308357,0.27953890489913547,0.7773775216138329
ZBIO,32.58,7.206326,295251.0,787670.0,2056885504.0,0.3748409867076314,0.9394812680115274,0.729106628242075,0.590778097982709,0.7406340057636888,0.7762247838616715
W,91.025,8.131387,1269642.0,3947380.0,12014981120.0,0.3216416965176902,0.962536023054755,0.5850144092219021,0.8443804034582133,0.6455331412103746,0.7750720461095102
VERX,12.835,8.12974,975494.0,1706340.0,2076920320.0,0.5716879402698173,0.9596541786743515,0.9250720461095101,0.34438040345821325,0.45821325648414984,0.7743515850144091
HUBS,223.69,9.175656,482969.0,1892204.0,11450849280.0,0.25524150672971835,0.9942363112391931,0.4092219020172911,0.9798270893371758,0.861671469740634,0.7733429394812681
IONQ,34.94,6.3926888,14849515.0,27402172.0,13042052096.0,0.5419101449330367,0.8933717579250721,0.9135446685878963,0.5821325648414986,0.2420749279538905,0.7730547550432276
SKYW,109.14,5.296669,158608.0,428113.0,4328522752.0,0.37048162517839917,0.7579250720461095,0.723342939481268,0.7982708933717579,0.9481268011527377,0.7729106628242075
DUOL,130.55,6.798106,468475.0,1529063.0,6082731520.0,0.30638044344804627,0.9106628242074928,0.553314121037464,0.8760806916426513,0.8155619596541787,0.7691642651296831
GIB,69.51,4.636462,256411.0,511724.0,14556787712.0,0.5010728439549444,0.6772334293948127,0.8789625360230547,0.6570605187319885,0.8847262247838616,0.7645533141210374
EAT,195.405,4.5058312,467211.0,1110891.0,8380488704.0,0.42057321555400123,0.6311239193083573,0.7838616714697406,0.8818443804034583,0.9250720461095101,0.7641210374639769
ALNY,282.905,4.09654,621702.0,1286977.0,37771374592.0,0.4830715700435983,0.5302593659942363,0.8501440922190202,0.9250720461095101,0.9423631123919308,0.7623919308357349
WIX,56.095,9.113015,545773.0,1778324.0,2347548416.0,0.3069030165481656,0.9884726224783862,0.5561959654178674,0.7636887608069164,0.6887608069164265,0.7622478386167146
NICE,94.05,4.198982,434406.0,717862.0,5511065600.0,0.6051385920970883,0.5706051873198847,0.9423631123919308,0.7262247838616714,0.8731988472622478,0.7621037463976945
TYL,317.54,6.8618593,200896.0,817531.0,13063772160.0,0.2457350241152935,0.9164265129682997,0.3861671469740634,0.9827089337175793,0.9769452449567724,0.7501440922190201
SE,104.57,4.5699997,2180841.0,4394163.0,64047509504.0,0.4963040742912814,0.6512968299711815,0.8760806916426513,0.7521613832853026,0.6484149855907781,0.7498559077809798
DSGX,71.3,4.576126,235582.0,525991.0,6109755904.0,0.44788218809827546,0.654178674351585,0.8328530259365994,0.659942363112392,0.8818443804034583,0.7406340057636887
ANDG,44.815,4.659035,152206.0,316363.0,5041048576.0,0.48111188729402615,0.6858789625360231,0.8472622478386167,0.5706051873198847,0.8904899135446686,0.7397694524495677
SONY,22.33,6.4347014,3115509.0,6414880.0,131132071936.0,0.4856691005911256,0.8962536023054755,0.8645533141210374,0.42939481268011526,0.34870317002881845,0.7370317002881843
ADSK,223.56,6.5840273,685426.0,2614336.0,47203631104.0,0.2621797657225391,0.9020172910662824,0.42363112391930835,0.9538904899135446,0.8184438040345822,0.7365994236311239
