symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
RVTY,140.19,9.10576,3688036.0,1550887.0,15643297792.0,2.378017224981575,0.9844236760124611,0.9595015576323987,0.9657320872274143,0.9190031152647975,0.9654205607476636
QRVO,118.06,9.335056,2287650.0,1232740.0,10415446016.0,1.8557441147362785,0.9875389408099688,0.9065420560747663,0.9470404984423676,0.9283489096573209,0.9451713395638629
SWKS,90.0,13.550338,12941470.0,6034714.0,13542550528.0,2.1445042797388574,1.0,0.9376947040498442,0.956386292834891,0.7476635514018691,0.9442367601246106
VAL,88.23,8.56405,1982052.0,1062517.0,6126321664.0,1.865430858988609,0.9719626168224299,0.9127725856697819,0.9190031152647975,0.9096573208722741,0.9344236760124609
PBF,74.72,6.13636,9284651.0,3079474.0,8857073664.0,3.015011979318546,0.9439252336448598,0.9750778816199377,0.8566978193146417,0.8161993769470405,0.9246105919003116
QLYS,185.37,7.2060556,1195662.0,782033.0,6412874752.0,1.5289150202101447,0.956386292834891,0.8473520249221184,0.9688473520249221,0.9844236760124611,0.9235202492211837
ILMN,222.29,6.7623963,3125907.0,1933461.0,33565788160.0,1.6167416875747687,0.9501557632398754,0.8566978193146417,0.9719626168224299,0.940809968847352,0.9208722741433022
CRUS,122.21,5.0455585,1321835.0,772004.0,6124867072.0,1.712212631022637,0.9096573208722741,0.8909657320872274,0.9034267912772586,0.9719626168224299,0.9080996884735202
MRCY,87.01,7.3799872,1074814.0,741854.0,5232444928.0,1.4488214662184202,0.9626168224299065,0.8193146417445483,0.9065420560747663,0.9470404984423676,0.8996884735202492
TLX,12.83,8.913414,1075571.0,173922.0,4359432192.0,6.184214762939709,0.9781931464174455,0.9937694704049844,0.5887850467289719,0.9034267912772586,0.8982866043613706
TMO,641.39,4.60572,2938484.0,2000535.0,237152223232.0,1.4688490828703322,0.8878504672897196,0.8255451713395638,0.9968847352024922,0.9906542056074766,0.8981308411214952
FPS,31.36,9.49721,32364825.0,7784059.0,9546890240.0,4.157833978390966,0.9937694704049844,0.9844236760124611,0.7663551401869159,0.5046728971962616,0.8961059190031153
CAI,28.5,9.404994,8649060.0,4363967.0,8056399872.0,1.9819260778094794,0.9906542056074766,0.9283489096573209,0.7445482866043613,0.6012461059190031,0.8806853582554517
TENB,38.09,8.580382,7349679.0,4113462.0,4195232000.0,1.7867380323435589,0.9750778816199377,0.9003115264797508,0.7881619937694704,0.6542056074766355,0.8794392523364486
ECO,82.73,3.77572,1126424.0,518864.0,3230164480.0,2.1709426747664127,0.8255451713395638,0.9470404984423676,0.7912772585669782,0.9750778816199377,0.8761682242990653
TEM,68.85,10.673525,8208324.0,6264840.0,12422932480.0,1.3102208516099374,0.9968847352024922,0.7570093457943925,0.9127725856697819,0.6947040498442367,0.8658878504672898
WAY,26.67,7.1084356,5678848.0,2709446.0,5113930240.0,2.095944336960397,0.9532710280373832,0.9345794392523364,0.6791277258566978,0.6728971962616822,0.8638629283489097
DGX,247.08,3.86313,1357299.0,958256.0,27271049216.0,1.41642629944399,0.838006230529595,0.8099688473520249,0.940809968847352,0.9875389408099688,0.8637071651090342
BRKR,55.75,5.8678317,2956996.0,2158648.0,8494031872.0,1.3698370461511093,0.9345794392523364,0.7975077881619937,0.794392523364486,0.8286604361370716,0.84797507788162
XMTR,87.585,3.0048223,1791528.0,705132.0,5020684800.0,2.54069876278484,0.7258566978193146,0.9657320872274143,0.7507788161993769,0.9501557632398754,0.8372274143302179
CRWD,242.49,3.0206478,17133655.0,9961103.0,248293965824.0,1.7200560018303195,0.735202492211838,0.8940809968847352,0.9221183800623053,0.8193146417445483,0.8366043613707166
ADPT,26.68,7.6674724,4122904.0,2752422.0,4258017024.0,1.4979185604533025,0.9657320872274143,0.838006230529595,0.6915887850467289,0.6697819314641744,0.8366043613707164
VLO,397.04,3.67933,3614074.0,2875466.0,114318721024.0,1.2568654958883185,0.822429906542056,0.7320872274143302,0.9750778816199377,0.9626168224299065,0.8353582554517134
CIEN,334.33,4.59579,2791062.0,2458891.0,47410843648.0,1.1350897620105975,0.8847352024922118,0.6386292834890965,0.9813084112149533,0.9595015576323987,0.8253894080996884
KRMN,37.47,7.85837,4271369.0,3338859.0,4966038528.0,1.2792900209323006,0.9688473520249221,0.7445482866043613,0.7725856697819314,0.7040498442367601,0.8246105919003116
WGS,94.64,5.4602203,824777.0,728141.0,2822405120.0,1.1327160536214826,0.9252336448598131,0.632398753894081,0.881619937694704,0.956386292834891,0.8171339563862928
MPC,410.84,3.62971,2741311.0,2377524.0,115374047232.0,1.1530108634024305,0.8161993769470405,0.660436137071651,0.9781931464174455,0.9781931464174455,0.8102803738317756
