symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
MKTX,162.885,29.55141,9019365.0,673306.0,5788843520.0,13.395640318072317,0.9976525821596244,1.0,0.92018779342723,0.9178403755868545,0.975
CORT,118.71,27.713829,3965830.0,1154121.0,12743707648.0,3.436234155690781,0.9882629107981221,0.9859154929577465,0.8943661971830986,0.8403755868544601,0.9538732394366197
SIMO,251.87,20.121138,2351944.0,1010301.0,8540366336.0,2.327963646477634,0.9483568075117371,0.9553990610328639,0.9389671361502347,0.92018779342723,0.9461267605633803
EME,802.64,19.355228,745224.0,427540.0,35743621120.0,1.7430509426018619,0.9413145539906104,0.8967136150234741,0.9929577464788732,0.9906103286384976,0.9409624413145539
PWR,660.095,17.634628,2447302.0,1253013.0,99053944832.0,1.953133766369543,0.9154929577464789,0.9178403755868545,0.9882629107981221,0.9483568075117371,0.9341549295774647
BE,207.45,26.700064,31333177.0,13282198.0,61099700224.0,2.359035530113314,0.9812206572769953,0.9577464788732394,0.9436619718309859,0.6197183098591549,0.9293427230046948
SNDK,1280.0,25.985537,21338318.0,13726827.0,189554884608.0,1.5544974814645802,0.9765258215962441,0.852112676056338,1.0,0.8380281690140845,0.9238262910798121
HII,319.11,13.805275,1134647.0,536829.0,12574219264.0,2.1136097341984135,0.852112676056338,0.9413145539906104,0.9272300469483568,0.9553990610328639,0.9086854460093896
NBIS,188.56,27.216297,38441618.0,19018960.0,47875043328.0,2.02122608176262,0.9859154929577465,0.9248826291079812,0.9295774647887324,0.5328638497652582,0.9079812206572769
IDCC,302.305,15.763265,582195.0,364400.0,7813081088.0,1.5976811196487377,0.8896713615023474,0.8685446009389671,0.9366197183098591,0.971830985915493,0.8998826291079812
MSFT,450.5,15.352803,97236131.0,38666122.0,3346509856768.0,2.514762949333269,0.8873239436619719,0.9624413145539906,0.960093896713615,0.5586854460093896,0.8953051643192488
MKSI,292.96,13.722828,2560024.0,1361024.0,19787726848.0,1.8809543402614501,0.8497652582159625,0.9131455399061033,0.9154929577464789,0.9061032863849765,0.8907276995305162
AGX,579.3175,17.663755,451340.0,341431.0,8121595392.0,1.3219069153064602,0.9178403755868545,0.7652582159624414,0.9812206572769953,0.9882629107981221,0.8841549295774648
WHD,62.135,18.766727,1408182.0,767247.0,4313314304.0,1.835369835268173,0.9366197183098591,0.9084507042253521,0.7652582159624414,0.8286384976525821,0.8816901408450704
MTZ,324.99,13.071454,2085803.0,1205655.0,25680240640.0,1.7300164640796911,0.823943661971831,0.8896713615023474,0.9225352112676056,0.9272300469483568,0.8769953051643193
LRCX,297.25,17.792746,17078789.0,11507024.0,371732217856.0,1.4842055600127366,0.9225352112676056,0.8356807511737089,0.9460093896713615,0.6901408450704225,0.8735915492957746
PBF,73.4,15.864251,5875338.0,2858872.0,8683840512.0,2.0551245386292214,0.892018779342723,0.9272300469483568,0.7758215962441315,0.687793427230047,0.8606807511737088
CSW,313.525,15.008625,185827.0,145631.0,5109286912.0,1.2760126621392422,0.8779342723004695,0.7464788732394366,0.9342723004694836,0.9929577464788732,0.8546948356807511
