symbol,Appearances,AvgHotScore
WDC,2,0.9110831386076184
TLN,2,0.9082266978227811
STX,2,0.8677728941804829
TWST,2,0.799778383591113
FNV,2,0.7482822410147991
MRVL,2,0.7448369867586514
ALGM,2,0.7119241682430177
TXG,2,0.7103172174622603
ESAB,2,0.698864099996291
AFRM,2,0.6924585512406809
STEP,2,0.6671873261377546
AMKR,1,0.9271317829457364
DAVE,1,0.9046650717703348
KLIC,1,0.8922480620155038
VMI,1,0.8906976744186046
ENTG,1,0.8873205741626794
OMAB,1,0.8868421052631579
SEZL,1,0.8843301435406699
VECO,1,0.8827751196172249
DASH,1,0.8784688995215311
INOD,1,0.8779069767441859
ARM,1,0.8735645933014354
ELF,1,0.8666666666666666
CRWV,1,0.8620155038759689
WOLF,1,0.8605263157894736
SII,1,0.8452153110047845
OUST,1,0.8449760765550238
TEM,1,0.8447368421052631
PLBL,1,0.8442583732057416
AAOI,1,0.8372009569377991
AUGO,1,0.8333732057416268
BE,1,0.8317829457364341
EMBJ,1,0.8239234449760765
AYA,1,0.8235645933014355
LION,1,0.8189922480620155
APP,1,0.8187799043062202
XNDU,1,0.8044258373205742
CHDN,1,0.8043062200956937
GFI,1,0.8034688995215309
ASR,1,0.7989234449760766
ACLS,1,0.7971291866028708
VSH,1,0.7960526315789473
AEIS,1,0.7947368421052632
LEU,1,0.7940191387559808
QBTS,1,0.7881578947368422
SSRM,1,0.7856589147286821
SKE,1,0.7852870813397129
GEF-B,1,0.7844961240310077
XYZ,1,0.7833732057416267
COHU,1,0.7829457364341085
CYTK,1,0.777906976744186
CAAP,1,0.7778708133971292
RDDT,1,0.7767942583732057
AEM,1,0.7688995215311004
AGI,1,0.7675837320574161
AXTI,1,0.7653110047846889
ROAD,1,0.7650717703349281
WPM,1,0.7649521531100478
AGX,1,0.7577519379844961
HL,1,0.7564593301435407
EGO,1,0.7555023923444977
BLTE,1,0.7533492822966507
RCL,1,0.751555023923445
VCYT,1,0.748062015503876
SIMO,1,0.7259689922480621
EOSE,1,0.6972868217054263
MBLY,1,0.687984496124031
NBIS,1,0.6751937984496124
CARG,1,0.6724806201550387
HUBB,1,0.6689922480620154
BBWI,1,0.6686046511627907
VST,1,0.665891472868217
KEEL,1,0.6651162790697674
CEG,1,0.658139534883721
ENSG,1,0.6468992248062014
JBTM,1,0.6406976744186046
APLD,1,0.6282945736434109
VICR,1,0.6178294573643411
GRND,1,0.6120155038759689
XE,1,0.6104651162790697
MWH,1,0.6042635658914729
SAIL,1,0.6031007751937985
KD,1,0.5903100775193799
IX,1,0.5903100775193798
DKS,1,0.5748062015503876
SATS,1,0.568217054263566
AAL,1,0.5666666666666665
SVM,1,0.5631782945736434
MOD,1,0.5569767441860465
