ticker,price,ma50,appearances,avg_HotScore,rule_score
AEHR,80.8499984741211,41.13199993133545,1,0.9408888268120992,4
ALB,215.6199951171875,172.62366485595703,1,0.9438754813516498,4
AXTI,81.77999877929688,44.48820007324219,1,0.9147923432211252,3
BAP,340.2200012207031,340.2365991210938,1,0.8980661226621556,1
CAR,448.9800109863281,151.21620040893555,1,0.9642598163365228,4
DOO,54.900001525878906,71.23045478820801,1,0.9079591749904368,1
JBHT,238.32000732421875,218.4822817993164,1,0.9192720117956312,3
NN,21.489999771118164,16.650100078582764,1,0.9237192589706724,3
PII,53.02000045776367,57.91308433532715,1,0.9412908538381448,2
XNDU,32.66999816894531,0.0,1,0.9575688770715066,4
