ticker,price,ma50,appearances,avg_HotScore,rule_score
AAOI,103.91000366210938,72.20660018920898,1,0.9551540479706384,4
CAR,190.4199981689453,113.4204002380371,1,0.9662649997849492,4
CWST,87.18000030517578,93.7697996520996,1,0.9394911900904646,1
FCFS,199.5800018310547,184.9249624633789,1,0.93427029720004,3
GSAT,77.7300033569336,61.1192000579834,1,0.9745648807902396,4
MANE,64.19000244140625,0.0,1,0.9372154162664336,3
SBAC,204.0399932861328,186.48315856933596,1,0.9953145833034652,4
TSAT,40.11000061035156,32.40280006408691,1,0.9467201187079756,3
VSAT,53.68999862670898,46.13179985046386,1,0.9510039282590932,4
WING,152.50999450683594,228.9597024536133,1,0.9299864876489226,1
