symbol,HotScore,TrendScore,regularMarketPrice,VolatilityScore
ZM,0.8374025974025975,0.7532467532467533,100.27,0.8649350649350649
VCEL,0.8372098490472656,0.8418708240534521,46.23,0.6622222222222223
WAL,0.8367231638418079,0.8870056497175142,83.41,0.7740112994350282
CLF,0.8366920152091255,0.1977186311787072,11.055,0.6311787072243346
GIB,0.8364427860696517,0.900497512437811,75.09,0.7238805970149254
MTD,0.8363636363636364,0.9975429975429976,1245.565,0.9828009828009828
YOU,0.836318407960199,0.7761194029850746,58.22,0.763681592039801
SGHC,0.8362716763005781,0.4739884393063583,15.735,0.6213872832369942
RNW,0.8359838274932614,0.4797843665768194,6.85,0.4636118598382749
WSO,0.83562874251497,0.9730538922155688,314.39,0.9461077844311376
NRG,0.835593220338983,0.847457627118644,139.98,0.9265536723163842
KMX,0.8351351351351352,0.6781326781326781,58.94,0.7665847665847666
BMNR,0.8350543478260869,0.2826086956521739,24.53,0.6956521739130435
EXK,0.8341423948220065,0.3300970873786408,11.185,0.6699029126213593
FFIV,0.8341059602649006,0.9933774834437086,407.13,0.9735099337748344
LMAT,0.834090909090909,0.9621212121212122,91.95,0.7550505050505051
SRE,0.8339805825242718,0.8673139158576052,84.26,0.7799352750809061
CWST,0.833864118895966,0.8343949044585988,91.24,0.7685774946921444
CSX,0.8337920489296635,0.5290519877675841,52.81,0.709480122324159
BROS,0.8334951456310681,0.7669902912621359,48.13,0.8333333333333334
INFQ,0.833459595959596,0.2297979797979798,15.96,0.601010101010101
CALM,0.833419689119171,0.9689119170984456,85.99,0.844559585492228
AUPH,0.8331125827814568,0.7483443708609272,17.27,0.6158940397350994
VCYT,0.8330601092896175,0.8688524590163934,51.6928,0.6994535519125683
WCN,0.8323232323232324,0.8787878787878788,159.44,0.8585858585858586
NTAP,0.8322597366781407,0.8212669683257918,163.55,0.90744920993228
ECG,0.8321969696969697,0.9204545454545454,147.29,0.9166666666666666
SIND,0.831958762886598,0.9003436426116839,17.13,0.5463917525773195
BHC,0.8318428184281842,0.3983739837398374,6.89,0.4932249322493225
RS,0.8318385650224215,0.9730941704035876,407.58,0.9417040358744396
PRMB,0.831781914893617,0.5664893617021277,25.32,0.6223404255319149
BP,0.8315614617940199,0.6146179401993356,44.48,0.6993355481727574
EFX,0.8312095032397409,0.8596112311015118,172.07,0.8876889848812095
BOOT,0.8308486238532111,0.944954128440367,161.22,0.908256880733945
XNCR,0.83,0.7218390804597701,27.52,0.5747126436781609
NG,0.8299492385786802,0.5380710659898477,9.365,0.5583756345177665
FBP,0.8299435028248587,0.7429378531073446,28.86,0.6045197740112994
PSN,0.8298165137614678,0.768348623853211,47.67,0.7064220183486238
GRND,0.8298013245033111,0.5783664459161147,15.69,0.4834437086092715
CPRT,0.8297720797720798,0.3817663817663818,31.61,0.7321937321937322
ETOR,0.8296357615894039,0.8807947019867549,29.67,0.6423841059602649
EGO,0.8294964028776978,0.6714628297362111,45.72,0.7649880095923262
ECPG,0.8288691896806455,0.9522673031026252,97.88,0.819047619047619
KNF,0.8286866359447004,0.8847926267281107,78.84,0.7857142857142857
CGNX,0.8284900284900286,0.7663817663817664,65.63,0.8376068376068376
AIP,0.8283492822966507,0.784688995215311,47.36,0.7057416267942583
IMNM,0.8280575539568344,0.6618705035971223,30.03,0.6115107913669064
NVMI,0.8279097387173396,0.98812351543943,473.99,0.9643705463182898
RIOT,0.8277258566978193,0.3177570093457944,23.44,0.6978193146417445
PLD,0.8276008492569003,0.7006369426751592,150.06,0.8152866242038217
BRZE,0.8274025974025974,0.6519480519480519,34.09,0.7428571428571429
NP,0.8273127753303965,0.788546255506608,34.1,0.6585903083700441
TM,0.8272727272727274,0.946969696969697,194.9,0.8787878787878788
PCOR,0.8272321428571429,0.6830357142857143,62.17,0.7633928571428571
TMUS,0.8272300469483568,0.7417840375586855,180.09,0.9061032863849764
ERAS,0.8269461077844311,0.4850299401197604,19.15,0.6227544910179641
EEFT,0.8268488745980708,0.864951768488746,72.32,0.8263665594855305
CRM,0.8265734265734265,0.8216783216783217,256.0,0.8461538461538461
VSNT,0.8263984543698147,0.6825775656324582,38.22,0.6702380952380952
CDW,0.8263888888888888,0.8383838383838383,130.06,0.8712121212121212
PM,0.8262222222222222,0.76,195.5,0.8888888888888888
NCNO,0.826103896103896,0.561038961038961,23.32,0.6363636363636364
AMD,0.8260479041916168,0.5508982035928144,562.09,0.994011976047904
BCAX,0.8260162601626015,0.7804878048780488,30.695,0.4674796747967479
HLI,0.8259213759213758,0.9312039312039312,142.9,0.8648648648648649
LFST,0.8257679180887372,0.3959044368600682,12.185,0.4846416382252559
AVTR,0.8257500000000001,0.27,14.38,0.54625
BCO,0.8257446808510638,0.9127659574468086,117.77,0.7978723404255319
LUNR,0.8257322175732216,0.3263598326359833,19.285,0.6485355648535565
RYAAY,0.8256716417910447,0.7582089552238805,67.29,0.7194029850746269
AVT,0.8254666666666666,0.856,97.22,0.792
SOLV,0.8251015275278046,0.7634408602150538,86.17,0.7553648068669528
CXT,0.8247041420118343,0.8905325443786982,45.35,0.7218934911242604
RHP,0.8246284501061572,0.9044585987261148,129.77,0.7876857749469215
TGT,0.824317617866005,0.71712158808933,161.6281,0.8535980148883374
CBOE,0.8242990654205608,0.9657320872274144,259.94,0.956386292834891
IOVA,0.8242979315831344,0.0930787589498806,6.21,0.6
EMR,0.8241626794258374,0.7751196172248804,145.235,0.8277511961722488
MUR,0.8238636363636364,0.6994949494949495,36.02,0.5833333333333334
CNR,0.8237938970337537,0.8949880668257757,89.98,0.8476190476190476
ATHM,0.8232708016059808,0.6752688172043011,23.01,0.4742489270386266
NEXA,0.8227817745803357,0.7122302158273381,15.4,0.5683453237410072
TNL,0.822568093385214,0.8715953307392996,76.025,0.7354085603112841
JAZZ,0.8225321888412017,0.9742489270386266,264.9,0.944206008583691
JAN,0.8224919093851133,0.8252427184466019,30.9,0.6245954692556634
UTI,0.8224061810154525,0.8057395143487859,47.02,0.7615894039735099
SMMT,0.8221198156682027,0.4285714285714285,14.55,0.4930875576036866
WMB,0.822005988023952,0.6766467065868264,74.41,0.7904191616766467
SGRY,0.8219155844155843,0.5292207792207793,16.51,0.577922077922078
LSCC,0.8217090069284064,0.8314087759815243,138.0,0.8314087759815243
DYN,0.8215976331360947,0.6923076923076923,19.2,0.5621301775147929
