ticker,price,ma50,appearances,avg_HotScore,rule_score
BE,219.02999877929688,152.69220138549804,1,0.9516167882911586,3
CAR,411.55999755859375,139.05320053100587,1,0.976870336733268,4
CRDO,159.52000427246094,112.7222003173828,1,0.9546642678888272,4
DAVE,213.75999450683597,189.508200378418,1,0.9425305026184826,3
GSAT,79.91000366210938,62.56340019226074,1,0.9520524943577352,4
LGND,232.33999633789065,200.0577996826172,1,0.9635202779718856,4
RVMD,147.00999450683594,99.8718000793457,1,0.919043678858816,3
TVTX,42.130001068115234,29.53549991607666,1,0.9602175498794804,4
TWST,57.40999984741211,47.94819999694824,1,0.930455744010544,3
XNDU,14.829999923706056,0.0,1,0.9112105618525468,3
