ticker,price,ma50,appearances,avg_HotScore,rule_score
AAOI,150.60000610351562,81.21280021667481,1,0.9480503841042242,4
ALAB,149.0500030517578,129.4065007019043,1,0.9489707564270824,4
CLS,351.3099975585937,285.8695999145508,1,0.9148094574035308,3
CRDO,119.58999633789062,111.93960021972656,1,0.8913663842442864,3
CRWV,102.0,85.68559997558594,1,0.9253078318952564,4
CVLT,88.87000274658203,83.6520002746582,1,0.9517252832024032,4
FN,662.1300048828125,530.3261999511719,1,0.9070537231135828,3
MRVL,128.49000549316406,88.350400390625,1,0.8955085518615177,3
TPL,409.9700012207031,468.02827087402346,1,0.9586639190236346,2
TTMI,121.48999786376952,99.24800033569336,1,0.896176709190938,3
