,symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
0,A,0.7696172248803829,0.7942583732057417,138.825,4.0199237,0.6061471223981165,2406622.0,0.8229665071770335,0.6842105263157895,0.8133971291866029,39208611840.0
1,AA,0.8018867924528302,0.5902964959568733,54.08,4.94858,1.446503449812406,5601464.0,0.8382749326145552,0.8652291105121294,0.7331536388140162,14272223232.0
2,AAL,0.5666666666666665,0.0930232558139534,16.125,4.3028145,0.2381089594635676,70078392.0,0.7906976744186046,0.6201550387596899,0.3178294573643411,10664835072.0
3,AAMI,0.9211385248664494,0.9049773755656108,79.15,8.29115,1.5576205242905343,468557.0,0.9616252821670428,0.9253393665158371,0.8510158013544018,2820034560.0
4,AAOI,0.9309116809116808,0.6495726495726496,150.28,15.528902,1.5593955153777812,11939824.0,0.9971509971509972,0.9202279202279202,0.9743589743589745,12709065728.0
5,AAON,0.8421926910299002,0.8803986710963455,90.65,6.3592606,0.8021062753691529,1081530.0,0.9136212624584718,0.760797342192691,0.840531561461794,7474422784.0
6,AAP,0.8016819571865443,0.8195718654434251,57.95,5.84475,0.7690746278186288,1879460.0,0.9480122324159022,0.6085626911314985,0.8746177370030581,3496077568.0
7,AAPL,0.7843324250681198,0.4359673024523161,307.48,4.4500327,0.7180233238960083,53586159.0,0.8092643051771117,0.779291553133515,0.9237057220708448,4516068458496.0
8,ABCL,0.863302752293578,0.2660550458715596,9.965,43.7951,5.190217590509175,7175267.0,1.0,0.9938837920489296,0.6941896024464832,3043065856.0
9,ABG,0.9110014306151644,0.9849462365591398,240.99,6.33163,1.997208801377396,263686.0,0.8626609442060086,0.9376344086021504,0.9120171673819742,4486944768.0
10,ABNB,0.961995249406176,0.8052256532066508,178.07,17.429443,4.082754910199463,3797249.0,0.97624703087886,0.985748218527316,0.973871733966746,105685417984.0
11,ABT,0.9091463414634148,0.4268292682926829,98.92,10.809904,1.5587709853383391,13125116.0,0.9902439024390244,0.9780487804878047,0.8878048780487805,172300156928.0
12,ABVX,0.9726164079822616,0.8004434589800443,133.26,38.595936,4.7795886907945295,1780072.0,1.0,0.9889135254988912,0.9822616407982262,10620093440.0
13,ACAD,0.8012,0.7013333333333334,28.8,6.077347,2.810721459190683,1610098.0,0.8186666666666667,0.944,0.5706666666666667,4931593216.0
14,ACHR,0.8179190751445088,0.0346820809248554,5.31,19.5946,2.275836279295928,42036345.0,0.9971098265895952,0.9797687861271676,0.6127167630057804,4050812672.0
15,ACIW,0.8651515151515151,0.8333333333333334,45.17,5.24231,1.8773742170455567,788839.0,0.9318181818181818,0.9267676767676768,0.6565656565656566,4592052736.0
16,ACLS,0.7971291866028708,0.9354066985645934,191.415,6.270818,1.0782021353116638,690953.0,0.7607655502392344,0.7559808612440191,0.8636363636363636,5882928640.0
17,ACMR,0.905813953488372,0.8604651162790697,119.2,14.066983,1.138750243736911,1579572.0,0.9715762273901808,0.8656330749354005,0.8837209302325582,8237850624.0
18,ACN,0.8487637362637362,0.5412087912087912,167.385,8.649226,0.4948024190380452,8451624.0,0.978021978021978,0.7774725274725275,0.9010989010989012,102429925376.0
19,ADBE,0.8632113821138212,0.7398373983739838,228.94,4.9846354,0.5136427840433756,6455977.0,0.8780487804878049,0.8495934959349594,0.9227642276422764,91003650048.0
20,ADEA,0.7948717948717948,0.6153846153846154,31.875,14.699529,1.0335454474803645,2045911.0,0.9603729603729604,0.7738927738927739,0.6317016317016317,3515613440.0
21,ADIG,0.849236641221374,0.7531806615776081,28.9,6.918235,2.850224783283624,917328.0,0.9033078880407124,0.9821882951653944,0.5699745547073791,2189209088.0
22,ADP,0.7790849673202614,0.8562091503267973,277.81,5.1633353,0.5325143596197477,2755644.0,0.8496732026143791,0.6013071895424836,0.9281045751633988,111050178560.0
23,ADPT,0.8403397027600849,0.4819532908704883,19.34,12.2461,2.2593421251148693,2333088.0,0.989384288747346,0.9596602972399152,0.5498938428874734,3095258368.0
24,ADSK,0.7967777777777778,0.8422222222222222,225.91,7.7044115,0.8801447097848173,2614336.0,0.9266666666666666,0.5555555555555556,0.9688888888888888,47699824640.0
25,AEHR,0.9668304668304668,0.7813267813267813,87.79,21.91362,5.135953480962243,2510800.0,0.995085995085995,0.995085995085995,0.9606879606879608,2761281280.0
26,AEIS,0.9242494226327944,0.9584295612009238,341.39,15.186588,1.671505040445217,969954.0,0.9607390300230948,0.8452655889145496,0.9815242494226328,13659238400.0
