symbol
TFX
RYTM
SAIC
KYMR
ENVA
ULTA
ASH
DSGX
MTN
URBN
BA
SNPS
JBTM
PLAB
PRIM
MDB
SATS
BLTE
NRIX
ACLX
YOU
TTAN
ARWR
STOK
DIOD
PL
ASND
CIEN
VSCO
AXON
OCUL
PATH
FROG
SAIA
SNDK
USAR
ODFL
MESO
LMND
BMA
BBAR
OKLO
LITE
VKTX
AMKR
BELFB
EOSE
ONON
IRON
ALV
PKE
CAE
IBKR
ASTS
PEGA
JPM
C
BAC
ING
GS
AXP
MEDIOLAN
BBVA
SAN
UBS
CS
DB
MS
RBC
HSBC
CM
TD
BNS
AGX
SATL	
SPIR	
BKSY	
IRDM	
VSAT	
GILT
KLAC
AMD
