symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
MOD,0.5569767441860465,0.8914728682170543,296.075,3.6241813,0.1443431974891774,1133971.0,0.6589147286821705,0.1550387596899224,0.9147286821705426,15637434368.0
ESAB,0.5596899224806201,0.8294573643410853,101.475,4.91625,0.1179969901905127,706357.0,0.8449612403100775,0.1007751937984496,0.7286821705426356,6177971712.0
SVM,0.5631782945736434,0.4031007751937984,12.6303,3.695612,0.2685724882697775,4006531.0,0.6666666666666666,0.689922480620155,0.2403100775193798,2793854208.0
STEP,0.5651162790697675,0.7054263565891473,49.18,4.527101,0.1638424415062035,1070028.0,0.8217054263565892,0.2945736434108527,0.5193798449612403,6198455808.0
AAL,0.5666666666666665,0.0930232558139534,16.125,4.3028145,0.2381089594635676,70078392.0,0.7906976744186046,0.6201550387596899,0.3178294573643411,10664835072.0
SATS,0.568217054263566,0.5813953488372093,116.5,-1.1581029,0.7082588337304927,8084495.0,0.2480620155038759,0.9612403100775194,0.4341085271317829,33763272704.0
DKS,0.5748062015503876,0.875968992248062,228.5,3.8447587,0.15037580276454,1151801.0,0.6976744186046512,0.1937984496124031,0.875968992248062,20451330048.0
TXG,0.57984496124031,0.5658914728682171,33.49,3.9416525,0.2203081918776008,2734660.0,0.7209302325581395,0.5348837209302325,0.4186046511627907,4251763200.0
AFRM,0.5837209302325581,0.5736434108527132,74.15,3.1276062,0.272346654512815,5160504.0,0.4961240310077519,0.6976744186046512,0.5426356589147286,24832729088.0
IX,0.5903100775193798,0.813953488372093,39.57,3.0200465,0.3369936767612786,366268.0,0.4263565891472868,0.8062015503875969,0.3875968992248062,42447060992.0
KD,0.5903100775193799,0.3953488372093023,12.125,4.796891,0.2279392414971482,4016623.0,0.8372093023255814,0.5813953488372093,0.2713178294573643,2733547264.0
MRVL,0.5930232558139534,0.5271317829457365,312.47,1.1622624,0.3478559475353127,35559461.0,0.3333333333333333,0.8294573643410853,0.6666666666666666,273584095232.0
NBIS,0.6005649717514124,0.7231638418079096,263.38,1.2727333,0.3739547130652859,17841393.0,0.5084745762711864,0.5649717514124294,0.7627118644067796,66871705600.0
STEP,0.6025423728813559,0.8587570621468926,48.775,3.6663175,0.3159412650883902,1070028.0,0.7457627118644068,0.3785310734463277,0.615819209039548,6147410944.0
SAIL,0.6031007751937985,0.4341085271317829,14.68,3.3075318,0.4088050519474495,3988165.0,0.5891472868217055,0.8682170542635659,0.2480620155038759,8326246400.0
MWH,0.6042635658914729,0.6434108527131783,34.1,5.966433,0.1828552870798497,1348684.0,0.875968992248062,0.3875968992248062,0.4883720930232558,7150538240.0
MRVL,0.6084745762711864,0.6384180790960452,297.43,-3.7069452,0.6043200711056897,35559461.0,0.1525423728813559,0.864406779661017,0.943502824858757,260415766528.0
XE,0.6104651162790697,0.4108527131782946,22.17,5.0710883,0.2249655820959158,7026866.0,0.8604651162790697,0.5581395348837209,0.3643410852713178,6372959744.0
GRND,0.6120155038759689,0.5348837209302325,13.13,3.9588282,0.2801809380797478,1453757.0,0.7286821705426356,0.7209302325581395,0.2558139534883721,2333542144.0
WPM,0.612994350282486,0.8813559322033898,127.68,3.0175874,0.3370545894218918,2313287.0,0.5988700564971752,0.4519774011299435,0.7853107344632768,57982693376.0
MBLY,0.6146892655367231,0.4180790960451977,9.82,3.0430217,0.6519625583356546,6551525.0,0.6045197740112994,0.8870056497175142,0.2542372881355932,8270267392.0
VICR,0.6178294573643411,0.937984496124031,335.23,3.9763057,0.1537508382168576,891774.0,0.7441860465116279,0.2170542635658914,0.937984496124031,15280256000.0
